review,rating,sentiment
program dan internalnya lebih memadai di pakaibebas iklanbugataupun leletcepat bila di jalankan dan mengakses semua menunya namun disayangkan pernah juga dipakai terkadang agak sulit membukanya pas saat koneksi lagi burikkurang bagusmungkin cuma hal yang biasa terjadi di apps ini dan lainlainnya sesuai pengalaman transaksi berhasilmasukan untuk perkembangan nya dibenahi semua,5,positive
untuk versi yang sekarang bagus uinya tetap simple dan intuitif hanya untuk layanannya mohon dikembalikan seperti yg sebelumnya ratarata nasabah tidak memerlukan transfer sampai x per bulan sehingga kuota bebas biaya admin x per bulan seperti sebelumnya sudah cukup justru yang diperlukan adalah kuota bebas admin utk topup dompet digital yg sekarang hanya x mohon pihak hana bank memperhatikan kebutuhan nasabah ya,5,positive
aduuuh gmn dong udah buka rekening dah pakai data lengkap eeh malah ga bs buka aplikasi nya utk line bank tolong hapus data saya mohon password ga bisa di masukkan saya takut data saya disalah gunakan apalagi udah verifikasi wajah udah berulang kali masukin passw yg benar eeh dibilang ada aktifitas ga wajar pokoknya hapus data saya ya,1,negative
saya kesulitan login hingga beberapa kali chat ke costumer service di suruh ke kantor cabang nya saya coba ke kantor cabang kota saya malah sudah tutup permanen sehingga sampai saat ini belum terselesaikan masalah nya cukup mengecewakan untuk kualitas perbankan seperti ini,2,negative
perbaikin dong applikasinya lemot bgttt bahkan baru mau masuk aja lama bgt loadingnya terus untuk top up e wallet ga usah dikasih pilihan nominal lah biar kita bisa input berapa aja,2,negative
sudah order kartu tapi ga dikirim dg alasan nama tidak jelas padahal sebelumnya sudah pernah pakai karena hilang saya buat lagi tapi malah berputar suruh telp cs sampe boncos kartu jg ga dikirim kecewa saya jangan pake line bank,1,negative
penanganan kasus terlalu lama dan jawaban cs nya selalu template penutupan rekening juga sekarang sudah tidak bisa lewat aplikasi padahal dulu bisa kalau pelayanan dan sistemnya diperbaiki saya kasih bintang,1,negative
aplikasi nya sekarang bikin saya kecewa padahal dulu ini aplikasi andalan saya untuk nabung dan beli token listrik pln namun semenjak pembelian token listrik pln dikenakan admin saya jadi tidak pernah mau menggunakan aplikasi nya lagi,1,negative
tolong tambahin lah kuota gratis tarik tunai di atm lain gak ada gunanya transfer antar bank x kali tu atau kembalikan kaya dulu kuota kali transfer tarik tunai dan bebas top up nya,5,positive
masukan pin udah bener bilangnya salah mulu ganti pin pun ga bisabisa aktifin biomatrik sidik jari pun ga muncul saat login padahal udah di aktifin harus tutup akun gitu ya pindah ke bank lain yang lebih aman,1,negative
aplikasi se bagus ini dapet rating nya padahal bagus banget sekalipun error ya karna koneksi internetnya sejauh ini bagus aku udah pake dari tahun,5,positive
untuk penarikan tunai di atm tanpa kartu kalau bisa diganti kode otp saja seperti bca lebih mudah digunakan saran mohon ditindaklanjuti,5,positive
akun saya tiba tiba logout dan saat mau login tidak bisa saya masukan alamat emailnya salah tapi saat coba untuk atur ulang dan dikirim kode otp ternyata emailnya benar tapi setiap ingin atur ulang sandi masuk keterangannya selalu informasi tidak valid atau ada kesalahan teknis tolong dibantu karena ada saldo saya yang tertahan,1,negative
dan semakin kemunduran lagi dengan adanya biaya pencairan limit quick credit padahal sebelumnya tidak ada biaya sama sekali jujur kecewa dan sangat di sayangkan tapi wajar sih karena bank butuh biaya jadi semua itu pilihan dan saya memilih mundur terimakasih line bank sudah menemani saya selama tahun ini 👋👏,2,negative
baru kali ini bank online seribet ini baru bikin akun udah berhasil masuk lagi langsung di blok aku sih cuma pengenya promonya doang tapi kalo di blok segala mending di hapus aja akunku takut di salah gunakan,1,negative
giliran sekrang pengajuannya bisa jadi bulan malah pengajuannya di tolak aneh banget sekarang susah ambil pinjaman di line bank padahal saya udah x ambil dan enggak pernah telat bayaar kecewa,1,negative
jangan pakai bank ini php katanya gratis tf tapi bayar aplikasi juga sering error saya pengguna dari dulu enak lancar skrg malah makin buruk mending bank lain yang tidak memberi harapan palsu,1,negative
biasanya buka akun line bank bank lancar aja kok ini ga bisa ya saat d buka keterangan nya l sistem sedang dalam pemeliharaan p maksud,2,negative
aplikasi ga jelas pengambil data orang aja udah berhasil buat akun rekening eh tiba tiba keluar sendiri setelah ada notif verifikasi email udah verifikasi dan disuruh masuk lagi ke aplikasi malah dibilang aktivitas tidak wajar dan gagal masuk berkali kali begitu terus,1,negative
buka tap pengaturan kartu atau halaman kartu tidak ada respon sama sekali,3,neutral
sejauh ini aku suka bgt sama aplikasi line bank tapi setelah di update kok sekarang kuota buat top up e walletnya terbatas bgt yaa pdhl aku sangat terbantu buat top up e wallet pake line bank soalnya enak gak kepotong biaya admin di aplikasi e walletnya huhuu sedih bgttt cuyyy,3,neutral
kenapa tiba tiba ada gmail masuk dari bank hana pentupan rekening pdahal saya ga ntup rekening uang saya juga ada dsna,2,negative
